"newspaper","location","circulation","e2016","e2012","link","lat","lng","blurb"
"St. Joseph News-Press","St. Joseph, MO",26015,"T","Mitt Romney","http://www.newspressnow.com/opinion/editorials/trump-and-gop-offer-best-hope-to-lead-america/article_a19fa87b-fe91-5c33-b2a4-5cb21e72aeb5.html",39.754357,-94.760449,"Donald Trump represents something different for a broad swath of America that is serious about wanting a less intrusive government, a more robust economic recovery and leadership that protects our interests around the world."
"The Bryan-College Station Eagle","Bryan, TX",25918,"C","Mitt Romney","http://www.theeagle.com/opinion/editorials/reluctantly-the-eagle-makes-a-presidential-selection/article_f3e09237-64a8-556d-935b-450b058d9f09.html",30.6160807,-96.3817399,"Donald Trump is a loose cannon, a man whose shoot-from-the-lip style would be devastating for America. He is totally unqualified to be president.\nReluctantly, we must recommend Hillary Clinton because her government service makes her better qualified to occupy the Oval Office."
"The Burlington Free Press","Burlington, VT",25848,"C","Barack Obama","http://www.burlingtonfreepress.com/story/opinion/editorials/2016/10/12/editorial-president-hillary-clinton/91937216/",44.4758825,-73.212072,"Clinton’s record says that she will be, at the very least, an able and competent president. At her best, she has the potential to bring her experience to bear for a presidency that gets things done, and serve as an inspiration for a new generation of women who lived to see this country elect its first female president."
"The Sun Chronicle","Attleboro, MA",25372,"NT","","http://www.thesunchronicle.com/vip/opinion/editorial-our-view-on-the-next-president/article_891e0031-b0d1-544c-b312-b9278eaf23fd.html",41.944544,-71.285608,"But if we remain troubled at the prospect of a Clinton presidency - and a continuing estrangement between the governed and those doing the governing - we are convinced the alternative would be unthinkable. Why? Because Donald Trump himself convinced us in scores of public appearances since declaring his candidacy on June 16, 2015."
"Niagara Gazette","Niagara Falls, NY",25225,"C","","http://www.niagara-gazette.com/opinion/editorial-we-endorse-hillary-clinton-for-president/article_39778234-8ddc-11e6-8ac3-ef902f3df245.html",43.0962143,-79.0377388,"Donald Trump is living proof that a level of maturity is not to be taken for granted even in would-be leaders of the free world. Trump does not know his place in the universe. Unlike the rest of us, he never stopped thinking he was the center of it. His view of the world is that of a child, narrow and myopic and self-absorbed. He is thin-skinned, temperamental, petulant and mean. He is a playground bully with no impulse control. And that’s not the worst of it."
"The Decatur Daily","Decatur, AL",24807,"C","Barack Obama","http://www.decaturdaily.com/opinion/editorials/clinton-is-the-better-choice/article_e3a48580-ceae-5f6a-b9d7-d58512f7a41a.html",34.6059253,-86.9833417,"[F]or all her flaws, Clinton is not reckless. Americans will not have to worry that she will insult foreign leaders or threaten to dissolve military alliances or use the military to satisfy her ego."
"The Daily News","Galveston, TX",24331,"C","Mitt Romney","http://www.galvnews.com/opinion/editorials/article_7abbc9d0-00ba-570a-b9ed-90c579cf2f60.html",29.3013479,-94.7976958,"The editorial board was unanimous in this decision, which is the newspaper&rsquo;s first endorsement of a Democratic Party presidential candidate in recent history."
"Jackson Citizen Patriot","Jackson, MI",24300,"C","Mitt Romney","http://www.mlive.com/opinion/index.ssf/2016/10/hillary_clinton_is_best_for_mi.html",42.245869,-84.4013462,"This has been an emotional election for both sides. We hope Clinton&rsquo;s steadiness will have a stabilizing effect and re-summon our faith in the grand democratic traditions and political civility that have made America great."
"Santa Cruz Sentinel","Scotts Valley, CA",24000,"C","Barack Obama","http://www.santacruzsentinel.com/article/NE/20161010/LOCAL1/161019967",37.0510595,-122.0146841,"With a fact-addled demagogue like Trump running — how can so-called religious leaders on the right still be standing by him? — the option of turning over the world’s future security to this reality-TV bromancer of Vladimir Putin is beyond comprehension."
"The Hour","Norwalk, CT",23788,"C","","http://www.thehour.com/news/article/Editorial-Hillary-Clinton-for-president-10420804.php",41.13834,-73.425902,"Throughout his bombastic campaign, Trump has routinely offered reminders that he is woefully unfit to hold this office."
