newspaper,e2016,e2012,circulation,date,city,state,lat,lng
Las Vegas Sun,Hillary Clinton,Barack Obama,203736,10/9/2016,Las Vegas,Nevada,,
The Columbus Dispatch,Hillary Clinton,Mitt Romney,257479,10/9/2016,Columbus,Ohio,,
The Day,Hillary Clinton,Barack Obama,46365,10/9/2016,New London,Connecticut,,
The Hawk Eye,Hillary Clinton,Barack Obama,153992016,10/9/2016,Burlington,Iowa,,
The Northwest Arkansas Democrat Gazette,No endorsement,No endorsement,17807,10/9/2016,Fayetteville,Arkansas,,
McAlester News-Capital,Hillary Clinton,No endorsement,9000,10/9/2016,McAlester,Oklahoma,,
Commercial-News,Hillary Clinton,No endorsement,19885,10/9/2016,Danville,Illinois,,
The Sun News,Hillary Clinton,Barack Obama,61665,10/9/2016,Myrtle Beach,South Carolina,,
The Daily News of Newburyport,Hillary Clinton,No endorsement,13605,10/9/2016,Newburyport,Massachusetts,,
The Birmingham News,Hillary Clinton,No endorsement,176087,10/9/2016,Birmingham,Alabama,,
Press-Register,Hillary Clinton,No endorsement,103373,10/9/2016,Mobile,Alabama,,
The Huntsville Times,Hillary Clinton,No endorsement,67286,10/9/2016,Huntsville,Alabama,,
The Eagle-Tribune,Hillary Clinton,Mitt Romney,36720,10/9/2016,North Andover,Massachusetts,,
The Record,Hillary Clinton,Barack Obama,71086,10/9/2016,Stockton,California,,
The Valdosta Daily Times,Hillary Clinton,No endorsement,16975,10/9/2016,Valdosta,Georgia,,
Press-Republican,Hillary Clinton,No endorsement,21619,10/9/2016,Plattsburgh,New York,,
Cumberland Times-News,Hillary Clinton,No endorsement,32156,10/9/2016,Cumberland,Maryland,,
Grand Junction Daily Sentinel,Not Donald Trump,Mitt Romney,26895,10/9/2016,Grand Junction,Colorado,,
Courier News,Hillary Clinton,No endorsement,40098,10/9/2016,Somerville,New Jersey,,
Marin Independent Journal,Hillary Clinton,Barack Obama,27203,10/9/2016,San Rafael,California,,
Gloucester Daily Times,Hillary Clinton,No endorsement,10334,10/9/2016,Gloucester,Massachusetts,,
The Salem News,Hillary Clinton,No endorsement,20330,10/9/2016,Salem,Massachusetts,,
Asbury Park Press,Hillary Clinton,Barack Obama,212471,10/9/2016,Asbury Park,New Jersey,,
Daily Record,Hillary Clinton,No endorsement,43115,10/9/2016,Morristown,New Jersey,,
The Woodward News,Hillary Clinton,No endorsement,5000,10/9/2016,Woodward,Oklahoma,,
The Register-Herald,Hillary Clinton,No endorsement,28670,10/9/2016,Beckley,West Virginia,,
